MonthYear_Date,ActionGeo_CountryCode,count
201704,EC,3728
201701,FG,80
201510,CJ,1980
201707,TX,1582
201601,BD,1648
201606,TT,626
201709,NH,568
201605,MA,823
201709,TP,56
201601,PG,209
201707,GK,665
201510,TO,722
201609,SV,136
201610,TL,53
201605,PF,81
201611,YI,110
201702,CN,87
201504,CQ,27
201706,CR,14
201508,PE,7601
201502,CO,3246
201602,SG,2995
201602,NO,9580
201603,BD,2536
201607,IZ,70710
201707,SF,58448
201509,VE,13297
201503,TH,22472
201705,IC,2797
201610,NL,20391
201602,KN,36006
201709,ET,6518
201604,PM,31259
201509,WE,7305
201512,NC,166
201602,OC,383
201506,WE,6510
201608,MV,2175
201708,MO,7808
201705,VM,27923
201605,IZ,69494
201606,OS,4257
201609,LG,3118
201503,ES,2897
201704,KV,2144
201704,TI,2173
201605,MI,6850
201607,LO,2176
201608,KT,86
201611,BC,4163
201503,MD,1940
201609,HR,3732
201703,BD,1544
201609,IV,1460
201611,JQ,2
201610,SC,164
201509,RN,67
201508,CS,2750
201508,TN,753
201508,GQ,2830
201702,JA,56045
201703,MV,2464
201611,ZI,21939
201611,DO,489
201601,US,1861537
201705,GT,2961
201605,LE,17614
201605,AJ,17781
201611,LA,3903
201704,RW,6803
201510,WI,524
201504,BU,7113
201610,TW,12885
201601,AY,861
201511,GV,1906
201511,GB,425
201602,RE,261
201506,MN,965
201503,MT,6738
201606,UY,1993
201603,TO,510
201604,RW,10060
201607,SU,20194
201704,RE,305
201608,BU,6868
201610,BE,26430
201612,BD,1723
201603,VI,365
201506,KG,3950
201702,FM,210
201506,RN,38
201511,AN,119
201507,US,1951301
201507,BE,17249
201502,CS,862
201701,RP,75563
201702,PE,11659
201603,UP,29292
201703,QA,10069
201703,PO,8224
201506,US,1599180
201512,CY,7512
201611,KU,5502
201708,VM,24814
201706,FM,224
201507,KU,9186
201509,BA,4946
201701,BK,1213
201606,EC,2514
201503,HA,5310
201610,AU,10766
201506,GG,3721
201612,CQ,23
201703,SY,94395
201702,BN,2227
201606,ET,11800
201607,NF,6
201607,OS,3614
201707,MK,1847
201604,MC,648
201601,EC,3105
201601,WA,4360
201606,BY,3297
201607,AY,679
201606,BD,1985
201702,YI,103
201512,BP,517
201708,GP,64
201612,AV,211
201512,PC,38
201705,AN,61
201610,BV,2
201507,IZ,57564
201508,ML,6953
201508,AJ,8299
201508,DJ,1654
201502,TZ,2517
201702,GY,6538
201702,ML,3014
201603,KU,7139
201706,AF,49135
201511,TZ,8777
201512,MO,7323
201509,EZ,12568
201510,RB,4435
201606,PK,99678
201612,MP,1373
201709,GG,1897
201602,AA,267
201605,GL,874
201604,VT,2622
201608,SW,12781
201703,MC,1259
201706,BF,5300
201503,UP,52393
201705,MK,3251
201706,MU,3312
201604,IZ,54252
201504,UP,37696
201505,CF,3816
201605,WI,406
201702,MB,92
201604,PF,38
201602,DO,418
201709,PU,101
201505,SM,193
201705,KT,45
201709,NE,47
201601,NF,9
201707,MF,3
201606,WQ,2
201608,WF,11
201702,FQ,1
201507,RW,9098
201508,UY,1070
201502,JM,3016
201502,HU,3445
201502,PP,780
201701,GV,3348
201608,IS,87324
201702,US,2066005
201702,RO,12963
201703,ID,35858
201611,CH,160700
201708,GJ,937
201708,NR,536
201708,RI,2801
201603,OS,3973
201603,WE,10451
201602,GM,81165
201703,KG,4322
201509,US,1890925
201509,RB,6598
201509,MT,6480
201705,AL,4576
201602,IT,45592
201611,UY,1399
201709,TO,2210
201503,RE,238
201604,CY,6731
201608,CY,5052
201505,WA,6060
201705,AC,671
201502,AO,1039
201611,,142227
201605,KN,20664
201606,TZ,12835
201606,NH,1254
201706,MN,1344
201604,DR,2108
201707,BL,1613
201605,VT,2371
201705,BM,8967
201706,CQ,30
201708,BL,1577
201509,GZ,1697
201601,NH,573
201610,AA,257
201503,MH,210
201503,PC,109
201611,SH,17
201706,BE,20192
201706,LY,13370
201709,LA,1937
201608,LE,14252
201612,NG,3034
201510,BO,10547
201610,LS,199
201605,PK,121239
201704,GH,31105
201503,RB,3740
201512,JA,54568
201512,CF,3224
201512,MJ,1653
201612,ET,9632
201708,VT,1089
201503,TI,4298
201503,MI,4748
201603,HU,9189
201511,UG,24039
201511,ZI,21121
201601,EK,514
201504,GJ,1135
201609,AV,213
201708,FK,23
201707,UV,865
201704,FI,5600
201507,CA,129726
201507,SN,20295
201503,MV,4243
201612,BE,18347
201612,PO,6444
201603,CU,45678
201603,DJ,3211
201606,DJ,1570
201507,MZ,3379
201505,SL,5064
201705,WS,1852
201608,BP,689
201508,NG,3159
201705,NR,381
201503,PU,322
201707,NE,36
201707,NR,423
201705,TL,18
201605,CW,476
201509,GK,920
201508,PF,36
201507,TK,23
201602,VT,1945
201705,HA,5003
201702,JM,10216
201509,AJ,13241
201509,LT,1502
201709,IR,47529
201709,LE,10612
201507,SY,75534
201506,RI,4318
201606,LI,9944
201708,AS,152555
201708,AJ,7256
201604,ID,28983
201510,CU,20150
201505,CY,6042
201704,MY,29169
201510,MJ,1014
201605,GI,1289
201611,GI,1043
201610,GK,855
201510,LA,1706
201609,OS,2960
201706,FI,4934
201504,LI,8328
201508,AM,9382
201709,HO,1146
201707,NC,479
201511,MI,4882
201605,AY,676
201502,EC,782
201502,UV,269
201603,UY,1659
201508,SC,325
201708,AN,61
201607,OC,306
201505,FG,76
201603,RN,39
201611,SB,3
201608,FQ,2
201701,SY,112734
201701,GM,74685
201702,IT,37385
201702,NI,136668
201507,CU,28321
201512,QA,11935
201708,IR,61427
201706,CB,8105
201511,BG,35975
201702,LU,2409
201512,SO,16337
201506,SO,14437
201605,ZI,20496
201612,VE,9252
201602,SW,24260
201709,SF,49711
201602,AJ,11073
201602,AY,874
201510,AQ,286
201601,MP,940
201510,GK,929
201510,SE,1360
201506,ZA,9531
201507,BC,3892
201509,DR,1937
201705,EI,44242
201605,UP,26049
201601,PL,14537
201602,ES,4104
201704,HK,6163
201704,BP,507
201704,OS,4092
201704,IT,40386
201705,DA,8764
201608,PP,3264
201608,AG,4294
201601,VI,188
201608,BH,4380
201609,BK,1865
201505,TZ,11847
201503,UY,1987
201503,SV,505
201611,BP,807
201706,NE,125
201602,AV,403
201505,BK,1650
201607,GB,516
201604,NF,57
201507,AS,153849
201508,MP,1193
201502,GZ,791
201603,IT,42162
201708,EG,29343
201708,SF,79918
201707,MT,5579
201703,BX,5121
201509,UG,17365
201503,AE,22855
201503,CD,7027
201705,LA,2775
201606,CS,1934
201703,RQ,2036
201605,AR,8499
201709,CT,1413
201612,SU,12827
201512,TP,30
201607,PA,1094
