MonthYear_Date,EventRootCode,ActionGeo_CountryCode,count
201603,02,CM,287
201604,03,SE,145
201702,02,VI,29
201701,02,GI,59
201708,03,FM,19
201704,03,AY,51
201612,03,CD,174
201610,03,PM,436
201601,03,PO,479
201606,02,SL,223
201605,02,BN,158
201612,03,IV,82
201510,01,MK,367
201601,02,BN,146
201704,02,LT,59
201708,01,TN,139
201504,02,MU,317
201705,03,CV,20
201503,01,VC,77
201602,02,TT,59
201506,01,SH,10
201612,01,HQ,1
201607,01,IO,17
201505,03,RN,10
201607,01,AN,19
201610,01,NC,22
201612,03,GP,7
201602,19,GR,1617
201506,19,ER,130
201506,18,AS,1594
201610,19,TH,1361
201704,18,GM,905
201508,19,TH,2690
201609,18,NP,197
201609,19,TD,455
201611,18,UP,295
201704,19,HK,200
201705,18,KU,44
201508,19,SF,4798
201512,18,IS,3497
201608,18,BA,102
201508,19,HU,675
201606,19,BA,550
201512,19,JE,412
201707,19,IR,3454
201506,18,EG,1413
201708,18,MX,478
201606,19,TW,389
201701,19,IV,530
201507,18,LE,587
201707,18,KN,256
201605,18,VM,480
201610,18,KS,283
201705,18,QA,75
201503,19,LG,148
201608,19,SW,560
201512,19,DJ,303
201702,19,AL,193
201611,19,RW,372
201510,19,IC,97
201509,18,SZ,186
201511,19,ES,228
201609,18,BH,64
201610,20,UK,43
201708,20,AG,4
201608,18,TZ,71
201612,19,CT,287
201612,18,BC,19
201610,18,GG,36
201704,19,DO,6
201508,19,LG,72
201609,18,ST,11
201707,19,EN,63
201602,18,CE,262
201508,18,SG,74
201608,18,GG,18
201507,18,HA,134
201709,18,MA,29
201505,18,PM,26
201708,18,LU,5
201708,18,BB,41
201507,18,TX,28
201706,18,FI,28
201608,19,BH,279
201510,18,EC,27
201504,19,TT,33
201608,19,GQ,120
201701,18,RI,112
201505,19,LA,99
201709,20,KV,2
201509,18,RO,62
201708,20,IN,51
201701,18,GG,24
201612,20,KV,12
201706,18,BK,11
201510,19,LG,54
201508,19,LU,39
201506,18,TX,27
201603,20,,13
201702,19,SI,30
201701,20,AS,24
201701,19,AV,3
201604,19,VT,27
201602,19,LG,85
201503,19,FM,20
201603,18,CN,2
201603,19,AC,20
201701,19,YI,7
201502,20,EG,5
201702,19,MF,3
201502,19,GI,10
201704,20,YM,7
201604,19,OC,6
201603,02,FM,19
201504,03,PU,24
201604,01,TL,5
201511,01,IM,14
201601,02,CN,2
201709,18,NU,7
201507,18,BX,2
201503,18,YI,2
201510,20,SO,6
201603,03,AN,15
201508,02,SH,1
201601,20,BG,6
201503,01,CQ,3
201604,19,AA,7
201605,18,TN,3
201612,20,CB,1
201608,01,IM,1
201509,18,LU,4
201705,02,MY,2267
201608,02,UK,23183
201703,02,GR,1560
201705,03,GA,290
201701,01,AR,1025
201503,01,QA,1360
201509,02,WE,351
201709,01,SN,1582
201709,02,LI,352
201506,03,FR,8014
201506,03,ID,1972
201702,02,ZI,1522
201605,03,GM,5808
201708,01,TZ,927
201605,01,MJ,131
201606,02,SP,1987
201601,03,HA,496
201601,03,NO,820
201701,01,NG,775
201604,01,GM,9954
201510,01,MY,6668
201603,02,CY,658
201707,03,SA,2895
201506,01,BA,696
201706,02,AF,2591
201511,02,BO,436
201706,01,BM,997
201505,01,FI,789
201708,03,PP,269
201704,01,IT,4920
201704,01,NG,427
201608,03,UV,47
201504,03,VM,2017
201506,01,CY,846
201508,02,SN,1598
201611,03,TH,1791
201706,03,RI,315
201706,01,GL,158
201508,02,ZI,2665
201605,02,FI,411
